year,waterbody_name,latitude,longitude,target_species,surveyors
2023,Spirit Lake,60.59569931,-150.9960022,northern pike,KWF
2023,Sportfish Lake,60.85863,-150.28505,elodea,KNWR
2023,Stormy Lake,60.7747665,-151.0577023,dreissenid mussels,ADFG
2023,Stormy Lake,60.7747665,-151.0577023,elodea,KWF
2023,Tangerra Lake,60.969861,-150.368042,elodea,KNWR
2023,Twin Lakes,60.2779007,-150.1719971,elodea,KWF
2023,Twin Lakes,60.27859879,-150.1459961,elodea,KWF
2023,Two Island Lake,60.8832016,-150.2740021,elodea,KWF
2023,Two Island Lake,60.8832364,-150.2743341,northern pike,KNWR
2023,Warlfe Lake,60.290155,-151.365712,northern pike,ADFG
2023,West Mackey Lake,60.528155,-151.009511,dreissenid mussels,ADFG
2024,CC Lake,60.421778,-151.195102,northern pike,ADFG
2024,Crystal Lake,60.424205,-151.190872,northern pike,ADFG
2024,Fred's Lake,60.424147,-151.198286,northern pike,ADFG
2024,G Lake,60.4299,-151.177922,northern pike,ADFG
2024,Hope Lake,60.421483,-151.187683,northern pike,ADFG
2024,Leisure Lake,60.415164,-151.210241,northern pike,ADFG
2024,Leisure Pond,60.419165,-151.207173,northern pike,ADFG
2024,Miller Creek,60.989477,-150.450037,northern pike,ADFG
2024,North Vogel Lake,60.996564,-150.412099,northern pike,ADFG
2024,Ranchero Lake,60.422857,-151.183571,northern pike,ADFG
2024,Sandpiper Lake,61.0036107,-150.4078911,elodea,KNWR
2024,Vogel Lake,60.988725,-150.430818,northern pike,ADFG
2024,Y Lake,60.391618,-151.170624,rainbow trout,ADFG
